fh,polarization,centralFreq,Int000,Int001,S100,S010,S001,S200,S110,S101,S020,S011,S002
27,S,30000,0.9944292726464758,0.9914495697138966,0.006036991439561026,-0.0006237286944221713,0.9944107521507767,0.005682624544941019,-0.0005377072133741333,0.0008545684664549007,0.0005570633213508443,-0.00013039605956502096,0.9937603121337079
27,M,30000,0.9952479878110195,0.9927374627686433,0.005130801850847007,-0.000516559072591428,0.995234628256561,0.00483461658765793,-0.00043088175007651217,0.0007072028589201922,0.0005094291355884364,-0.00010373401957447322,0.9946559542767537
28,S,30000,0.9939005007218443,0.9906455671376615,0.00667527465238916,0.0004877527325764961,0.9938779644104803,0.006223876704081482,0.0005907957907119796,0.0009752454803028714,0.0005731151462010802,-5.511968787670965e-05,0.9932030081497175
28,M,30000,0.9954819826247743,0.9930053872212282,0.004994882470387456,0.0002590943847499357,0.995469417787286,0.004586067432703638,0.0003836536974668898,0.0008223798958999053,0.0005391764873743959,-0.00010689079130345728,0.9948747560799218
24,S,44000,0.9989708782750428,0.9982065574664477,0.001133599920487922,-7.656924820139991e-05,0.9989702321540822,0.001073809980899742,-2.8402133819886826e-07,0.0001908723830030459,0.00011198888131225206,-7.630887816566493e-05,0.9988142011377881
24,M,44000,0.9989374869388237,0.9982373960295354,0.0011236792527334967,-7.91187345226407e-05,0.9989368518063668,0.0010776249163473523,-2.179791244208653e-06,0.00014942733752902132,0.00013617592338636587,-7.700564765170481e-05,0.9987861991602662
25,S,44000,0.9996602235745977,0.9992059388660749,0.0004568173578276081,0.0001240287472161395,0.9996601115038982,0.00028102467400224946,-2.6181950262485767e-05,0.00021222270643104165,0.00015911440955893253,0.00013664709619415073,0.999559860916439
25,M,44000,0.9995493368510415,0.9989787715757936,0.0005808046616899365,0.0001054462470798047,0.9995491625459905,0.00039367438205917455,-4.032648433284765e-05,0.0002398772745259295,0.00018317689567695514,0.00012410802762940847,0.999423148722264
26,S,44000,0.9996729954882876,0.9992371078943775,0.000564144500254859,-5.6743376968167275e-05,0.999672834696281,0.0002697179556168448,2.5086576168218374e-05,0.00032887671911222476,0.00015325995108211337,-6.940915068399404e-05,0.9995770220933011
26,M,44000,0.9995242131299406,0.9989479651521987,0.0007302028104625246,-3.750629522657141e-05,0.9995239457012324,0.000417110449551612,4.38557872245733e-05,0.00036746241290062183,0.00018893844012338165,-5.840565365499364e-05,0.9993939511103251
18,S,70000,0.9958167520409967,0.9926617595407324,0.004740365181569338,0.00045223921293880494,0.9958053665566979,0.004218262034798075,0.0004713169135828926,0.0009457913808088097,0.0006413440797747183,3.5787582064986265e-05,0.9951403938854272
18,M,70000,0.9974123709450303,0.9953844704909947,0.002897260402864747,0.0001633093328030005,0.9974081496190046,0.0025447974053669853,0.00022628413049456022,0.0005890606754629981,0.00047742290167882516,-4.8886610127096705e-05,0.9969777796929545
19,S,70000,0.9961567497244717,0.9931104852500605,0.0044630219965651145,0.00026819928318059117,0.9961467158633945,0.003978829169746729,0.0003010905850730317,0.0009559153811039074,0.0005154581229571477,8.666073241934449e-06,0.995505712707296
19,M,70000,0.9957525500432011,0.9926293580093966,0.004761488818221352,0.00015053624852899927,0.9957411543572001,0.004282591891572406,0.00020470225295178462,0.0008783242701505023,0.0006116174822642205,-4.5828111041121104e-05,0.9951057906261633
20,S,70000,0.9951792792947091,0.9916347185775393,0.005575624310286466,0.0001445891124734006,0.9951636495798445,0.0050649799758492,0.00019584982775310182,0.001101223699717282,0.0005109823363432068,-2.2842533350594706e-05,0.9944240376878074
20,M,70000,0.9955030760703562,0.9923833877586743,0.005054009379000506,3.295446603701871e-05,0.9954902462449049,0.00459575524760129,8.530314078863647e-05,0.0009068777505541294,0.0005757260532487092,-5.5500824226473904e-05,0.9948285186991502
21,S,70000,0.9952095530397836,0.9917346979014805,0.005495602172984647,-0.00023245292113454095,0.9951943522669537,0.0050293735461782434,-0.0001956484158923182,0.0010473031219726929,0.0005058671774427252,-6.444973120957758e-05,0.9944647592763789
